time,x,y,z
1697786336851,0,0,0
1697786338365,0.0009109192,1.52095,0.03332354
1697786338426,0.0004902184,1.52107,0.03355239
1697786338449,0.0002340451,1.521132,0.03371925
1697786338467,0.0001633093,1.521219,0.03380667
1697786338482,7.891282E-05,1.521324,0.03387241
1697786338496,6.726012E-05,1.521388,0.03391598
1697786338510,5.184114E-05,1.521413,0.03397831
1697786338524,4.350021E-05,1.521453,0.0340488
1697786338538,7.068738E-05,1.521437,0.03412585
1697786338553,4.568696E-05,1.521459,0.03417759
1697786338570,-3.457069E-06,1.5215,0.03424862
1697786338623,6.246939E-05,1.52147,0.03436974
1697786338652,0.0001440682,1.521596,0.03491998
1697786338679,0.0001443252,1.52152,0.0351059
1697786338705,9.973347E-05,1.521546,0.03523776
1697786338718,8.31373E-05,1.521614,0.03539696
1697786338733,7.996708E-05,1.52168,0.03546515
1697786338746,6.384403E-05,1.521732,0.03542261
1697786338761,3.659725E-05,1.521785,0.03547726
1697786338774,2.160668E-05,1.521821,0.03551628
1697786338787,-1.980737E-05,1.521801,0.03557723
1697786338801,-3.274158E-05,1.521719,0.03562763
1697786338815,-6.558374E-05,1.521661,0.03565242
1697786338828,-0.000119593,1.521601,0.03567237
1697786338842,-0.000167042,1.521596,0.03571115
1697786338855,-0.0002015866,1.521587,0.03576924
1697786338869,-0.0002077743,1.521579,0.03580816
1697786338883,-0.0002547391,1.521624,0.03580823
1697786338897,-0.0003052652,1.521703,0.03581578
1697786338911,-0.0003453568,1.52178,0.03579913
1697786338925,-0.0003764406,1.521829,0.03581158
1697786338938,-0.0004168712,1.52188,0.03579603
1697786338953,-0.0004909374,1.521886,0.03574798
1697786338966,-0.0005744621,1.521883,0.03568666
1697786338981,-0.0006508008,1.521865,0.03565463
1697786338995,-0.0007000864,1.521874,0.03565065
1697786339008,-0.0007387921,1.521855,0.03562909
1697786339021,-0.0007757321,1.521865,0.03560155
1697786339036,-0.0008352697,1.521874,0.03557406
1697786339051,-0.000886526,1.521863,0.03553996
1697786339066,-0.0009538755,1.52185,0.03550354
1697786339091,-0.001061235,1.521831,0.03545082
1697786339105,-0.001220046,1.521843,0.03538585
1697786339119,-0.001292126,1.521862,0.03533062
1697786339134,-0.001398766,1.521886,0.03526882
1697786339148,-0.001500752,1.52191,0.035195
1697786339160,-0.001589768,1.521943,0.03511803
1697786339175,-0.001697846,1.521936,0.03503545
1697786339189,-0.001789574,1.521927,0.03493379
1697786339201,-0.001868322,1.521924,0.03487564
1697786339215,-0.001967903,1.521949,0.03480215
1697786339229,-0.002061896,1.521987,0.03472896
1697786339242,-0.002165768,1.522052,0.03463949
1697786339257,-0.002237525,1.522127,0.03457846
1697786339272,-0.002297629,1.522216,0.03452148
1697786339285,-0.002354933,1.522234,0.03445491
1697786339301,-0.002390489,1.522242,0.03433537
1697786339314,-0.002455106,1.522206,0.03423274
1697786339328,-0.00251621,1.522204,0.03411628
1697786339342,-0.002577066,1.522228,0.0340059
1697786339356,-0.002679946,1.522251,0.03387468
1697786339371,-0.002777208,1.522267,0.03372775
1697786339384,-0.002845293,1.522285,0.03359095
1697786339398,-0.002917876,1.522309,0.03344691
1697786339412,-0.002982795,1.522341,0.03329294
1697786339426,-0.003039589,1.522335,0.03311534
1697786339440,-0.003083887,1.522317,0.03293866
1697786339453,-0.003134565,1.522294,0.03275693
1697786339467,-0.003197471,1.522304,0.03258853
1697786339482,-0.003257036,1.52236,0.03239894
1697786339496,-0.003303081,1.522424,0.03221399
1697786339510,-0.003357975,1.522485,0.03201478
1697786339523,-0.003417915,1.522529,0.0318001
1697786339538,-0.003477678,1.522634,0.03157917
1697786339552,-0.003545647,1.522707,0.03138448
1697786339564,-0.003578171,1.522766,0.03116548
1697786339579,-0.00361299,1.522836,0.03096061
1697786339593,-0.003667718,1.522877,0.03075715
1697786339607,-0.003723644,1.522936,0.03056589
1697786339621,-0.003814097,1.523007,0.03037541
1697786339636,-0.003920453,1.523058,0.03017523
1697786339649,-0.003990939,1.523094,0.03001544
1697786339662,-0.004043922,1.523093,0.02983796
1697786339677,-0.004122164,1.52308,0.02967574
1697786339691,-0.004122807,1.523083,0.02952969
1697786339704,-0.004126061,1.523096,0.02937058
1697786339719,-0.004157241,1.523076,0.02920984
1697786339732,-0.004205277,1.523043,0.02904424
1697786339746,-0.004292203,1.523035,0.02889688
1697786339760,-0.004383935,1.523051,0.02873722
1697786339774,-0.004478939,1.52307,0.02859202
1697786339787,-0.004527027,1.523062,0.02845374
1697786339802,-0.004556093,1.523063,0.02831401
1697786339816,-0.004597956,1.523083,0.02816911
1697786339830,-0.004604878,1.523095,0.0280167
1697786339843,-0.0046541,1.52312,0.02786557
1697786339858,-0.004681805,1.523167,0.02771556
1697786339871,-0.004708016,1.523192,0.02757512
1697786339885,-0.004744066,1.523291,0.02744076
1697786339899,-0.004811727,1.523351,0.02732103
1697786339913,-0.004861204,1.523427,0.02719901
1697786339926,-0.004863057,1.523473,0.02710968
1697786339941,-0.004900316,1.523526,0.02700203
1697786339955,-0.004915716,1.523547,0.02692215
1697786339969,-0.004927021,1.523521,0.02682851
1697786339982,-0.004952056,1.523511,0.02672233
1697786339996,-0.004973674,1.52348,0.0266454
1697786340010,-0.004986119,1.523515,0.02659239
1697786340023,-0.005022846,1.523529,0.02651341
1697786340038,-0.005053749,1.523606,0.02647044
1697786340053,-0.005076218,1.523621,0.02638436
1697786340065,-0.005109975,1.523629,0.02633069
1697786340079,-0.005117074,1.52364,0.0262586
1697786340093,-0.005120246,1.523631,0.02620859
1697786340107,-0.005091168,1.523629,0.0262049
1697786340121,-0.005081339,1.523641,0.0261745
1697786340135,-0.005091498,1.52366,0.02616295
1697786340149,-0.005102137,1.5237,0.02614842
1697786340162,-0.005089492,1.523755,0.02614605
1697786340177,-0.005089212,1.523825,0.02614348
1697786340191,-0.005078522,1.523847,0.02610677
1697786340203,-0.005076474,1.523873,0.02607839
1697786340218,-0.005031887,1.523919,0.0260773
1697786340231,-0.00498843,1.52395,0.0260831
1697786340245,-0.004946861,1.524011,0.02609454
1697786340260,-0.004889365,1.524045,0.02609343
1697786340274,-0.004855424,1.524078,0.02611372
1697786340287,-0.004805757,1.5241,0.02613534
1697786340301,-0.004748998,1.524105,0.02615215
1697786340316,-0.004704408,1.524088,0.02616647
1697786340330,-0.004669914,1.524078,0.02617872
1697786340343,-0.004640786,1.524074,0.02619541
1697786340358,-0.004635463,1.524084,0.02623639
1697786340372,-0.004592562,1.524082,0.02626133
1697786340386,-0.004577871,1.524109,0.02627887
1697786340400,-0.004561253,1.524095,0.02626947
1697786340414,-0.004554868,1.524123,0.02624717
1697786340427,-0.004564075,1.524148,0.02624717
1697786340441,-0.004549682,1.524178,0.02623338
1697786340455,-0.004554441,1.524163,0.02622284
1697786340469,-0.004534356,1.524152,0.02619999
1697786340483,-0.004516257,1.524163,0.02620809
1697786340497,-0.004476145,1.524158,0.02621602
1697786340511,-0.004448675,1.524176,0.02620847
1697786340524,-0.004458502,1.524214,0.02617005
1697786340538,-0.004479408,1.524278,0.02613247
1697786340553,-0.004482105,1.524331,0.02610192
1697786340566,-0.004495919,1.524369,0.02607699
1697786340581,-0.004523033,1.524418,0.02602232
1697786340594,-0.004528269,1.524454,0.02599262
1697786340607,-0.004539927,1.524515,0.02597512
1697786340622,-0.004538726,1.524591,0.0259914
1697786340636,-0.004533051,1.524624,0.02602074
1697786340649,-0.004522948,1.524666,0.02603478
1697786340663,-0.004527221,1.524676,0.02600066
1697786340678,-0.004511362,1.524703,0.02598006
1697786340692,-0.004459077,1.5247,0.0259771
1697786340705,-0.004410466,1.524683,0.02596854
1697786340719,-0.004397914,1.524654,0.02597013
1697786340734,-0.004387347,1.524635,0.02597598
1697786340747,-0.004365113,1.524622,0.02599352
1697786340761,-0.004353937,1.524596,0.02603808
1697786340774,-0.004327785,1.524552,0.02606906
1697786340788,-0.004319403,1.524564,0.02605836
1697786340803,-0.00430119,1.524577,0.02605759
1697786340816,-0.004296958,1.524611,0.02606556
1697786340830,-0.004263494,1.524649,0.02608158
1697786340844,-0.00424969,1.524648,0.02608599
1697786340858,-0.004234428,1.524628,0.026086
1697786340873,-0.0042137,1.524629,0.02607945
1697786340885,-0.004180182,1.524627,0.02611609
1697786340900,-0.004147846,1.52464,0.02614242
1697786340914,-0.00413456,1.524665,0.02613333
1697786340927,-0.004134087,1.524719,0.02611795
1697786340942,-0.004133342,1.524779,0.02610004
1697786340955,-0.004115401,1.52481,0.0260896
1697786340969,-0.004123608,1.524834,0.02604751
1697786340983,-0.004120657,1.52486,0.0260485
1697786340997,-0.004118074,1.524832,0.02602376
1697786341012,-0.004102483,1.524821,0.02601863
1697786341025,-0.004056919,1.52486,0.0260423
1697786341040,-0.004015535,1.524897,0.02607772
1697786341053,-0.004003331,1.524932,0.02606179
1697786341067,-0.003988713,1.524959,0.02605127
1697786341081,-0.00396462,1.524984,0.02603604
1697786341095,-0.003949514,1.524986,0.02603252
1697786341109,-0.003944337,1.524972,0.02605298
1697786341121,-0.003937913,1.524959,0.0260636
1697786341136,-0.003937487,1.524944,0.02608081
1697786341150,-0.003897564,1.524971,0.0261106
1697786341163,-0.00385892,1.524976,0.02614397
1697786341178,-0.003832947,1.524991,0.02615647
1697786341192,-0.003832152,1.524982,0.02617105
1697786341205,-0.003829621,1.524994,0.02619385
1697786341220,-0.003874654,1.524996,0.02623895
1697786341233,-0.003921619,1.524968,0.02630877
1697786341247,-0.003944337,1.52493,0.02636926
1697786341261,-0.003958467,1.524911,0.02642078
1697786341275,-0.003939426,1.524903,0.0264884
1697786341289,-0.003944559,1.524938,0.02657811
1697786341303,-0.003944091,1.524961,0.02664682
1697786341317,-0.003921987,1.524948,0.02668304
1697786341330,-0.003915973,1.524962,0.02671796
1697786341344,-0.003917724,1.524938,0.02677125
1697786341359,-0.003928665,1.524903,0.02685274
1697786341372,-0.003958073,1.524855,0.02694729
1697786341386,-0.003951985,1.524832,0.02699944
1697786341401,-0.003958311,1.524795,0.02706144
1697786341414,-0.003945366,1.52475,0.02712917
1697786341428,-0.003939062,1.524746,0.02721471
1697786341442,-0.003938448,1.524731,0.02730127
1697786341455,-0.003924942,1.52467,0.02738934
1697786341470,-0.003927208,1.524657,0.02746109
1697786341484,-0.003961159,1.52466,0.02758958
1697786341498,-0.004000211,1.524661,0.02773458
1697786341512,-0.004016029,1.524617,0.02782069
1697786341525,-0.004054485,1.524576,0.02789598
1697786341539,-0.004089771,1.524537,0.02796204
1697786341553,-0.004122578,1.524512,0.02808677
1697786341567,-0.004139137,1.524541,0.02821997
1697786341581,-0.004172493,1.524557,0.02832105
1697786341595,-0.004229821,1.524561,0.02841202
1697786341609,-0.004284199,1.524561,0.02849985
1697786341622,-0.00439439,1.524568,0.0286251
1697786341637,-0.00449205,1.524564,0.02873818
1697786341650,-0.004558571,1.524546,0.02885258
1697786341664,-0.004616721,1.524532,0.02895531
1697786341677,-0.004680114,1.524502,0.02905725
1697786341692,-0.00473915,1.524509,0.02918873
1697786341705,-0.004779201,1.524525,0.02931937
1697786341720,-0.004833899,1.524542,0.02942455
1697786341734,-0.004878124,1.524566,0.02952332
1697786341747,-0.004932135,1.524572,0.02961636
1697786341761,-0.005032677,1.524582,0.02972292
1697786341775,-0.005133258,1.524609,0.02981274
1697786341789,-0.005167514,1.52461,0.02989274
1697786341816,-0.005218344,1.524612,0.02999648
1697786341833,-0.005321776,1.52463,0.03021186
1697786341846,-0.005360929,1.524634,0.03031844
1697786341860,-0.005408878,1.524621,0.03042335
1697786341874,-0.005467303,1.524598,0.03054038
1697786341887,-0.005564915,1.524599,0.03064005
1697786341900,-0.005648231,1.524583,0.0307364
1697786341914,-0.005735911,1.52455,0.03085745
1697786341928,-0.005815061,1.524525,0.03097671
1697786341942,-0.005897393,1.524554,0.0311169
1697786341956,-0.005937032,1.524608,0.03128593
1697786341970,-0.006003661,1.52466,0.03146169
1697786341984,-0.006050698,1.524665,0.03157825
1697786341998,-0.006130613,1.524658,0.03168989
1697786342013,-0.006202007,1.524659,0.03180026
1697786342025,-0.00633217,1.524674,0.03191562
1697786342039,-0.006451892,1.524668,0.03202998
1697786342052,-0.006521584,1.524692,0.03212983
1697786342066,-0.006599613,1.524703,0.03223573
1697786342080,-0.006653583,1.524729,0.03234075
1697786342095,-0.006709317,1.524784,0.03246491
1697786342108,-0.006776106,1.524797,0.03257312
1697786342122,-0.006842399,1.524802,0.03264508
1697786342136,-0.006904079,1.524798,0.032722
1697786342150,-0.006975872,1.524784,0.03277946
1697786342163,-0.007055728,1.524752,0.03282057
1697786342178,-0.007124089,1.524755,0.0328803
1697786342192,-0.007180801,1.524766,0.03293134
1697786342205,-0.007219164,1.524802,0.03296375
1697786342220,-0.00729323,1.52482,0.03298214
1697786342233,-0.007342914,1.524883,0.0329903
1697786342246,-0.00738265,1.524957,0.03300329
1697786342261,-0.00740399,1.52502,0.03298696
1697786342275,-0.007429266,1.525086,0.03297517
1697786342289,-0.007459382,1.525185,0.03295092
1697786342303,-0.007474894,1.525217,0.03293443
1697786342317,-0.007484408,1.525291,0.03290064
1697786342331,-0.007494768,1.525359,0.03287975
1697786342344,-0.007505719,1.525414,0.03286451
1697786342358,-0.007521782,1.525427,0.03286949
1697786342373,-0.007549912,1.525388,0.03284368
1697786342386,-0.007579576,1.525415,0.03281559
1697786342401,-0.007592786,1.52542,0.03280309
1697786342415,-0.007673275,1.525402,0.03276146
1697786342429,-0.007754793,1.525407,0.03277011
1697786342442,-0.007817185,1.525415,0.03272827
1697786342456,-0.007851494,1.525451,0.03268563
1697786342469,-0.007898716,1.525486,0.03261082
1697786342484,-0.007900907,1.525485,0.03256187
1697786342498,-0.0079189,1.525501,0.03246671
1697786342512,-0.007981533,1.525553,0.03238304
1697786342525,-0.008042268,1.525596,0.03230637
1697786342540,-0.008129865,1.525629,0.03223974
1697786342554,-0.008249683,1.525674,0.03219211
1697786342567,-0.008344801,1.52569,0.03217917
1697786342581,-0.008433079,1.52571,0.0321065
1697786342595,-0.008518929,1.52571,0.03202801
1697786342609,-0.008577168,1.525743,0.03195347
1697786342623,-0.008621652,1.525763,0.03188175
1697786342637,-0.008680049,1.525859,0.03183218
1697786342650,-0.008780148,1.52587,0.03176484
1697786342664,-0.008897603,1.525864,0.0316966
1697786342679,-0.009023676,1.525861,0.0316144
1697786342693,-0.009124273,1.525872,0.03152299
1697786342706,-0.009234887,1.525865,0.03142659
1697786342720,-0.009357123,1.525869,0.03132707
1697786342734,-0.009509288,1.525865,0.03123787
1697786342748,-0.00963111,1.525876,0.0311554
1697786342762,-0.009748803,1.525857,0.03103728
1697786342775,-0.009859165,1.525853,0.03092721
1697786342789,-0.009980796,1.525849,0.03083451
1697786342802,-0.01008289,1.525814,0.03074266
1697786342817,-0.01014304,1.525852,0.03064131
1697786342830,-0.01021202,1.525874,0.03056407
1697786342844,-0.01027264,1.525903,0.03049021
1697786342858,-0.01034537,1.525948,0.03040217
1697786342872,-0.01040377,1.525984,0.03030846
1697786342886,-0.01045927,1.526047,0.03023673
1697786342900,-0.01050315,1.52611,0.03014369
1697786342914,-0.01056874,1.52613,0.03007987
1697786342928,-0.01062642,1.52619,0.0300029
1697786342942,-0.01068003,1.526212,0.02994179
1697786342956,-0.01070397,1.526255,0.02990507
1697786342970,-0.01074335,1.526325,0.02989116
1697786342983,-0.0107988,1.526346,0.02986312
1697786342998,-0.01084229,1.526366,0.02981533
1697786343011,-0.01087318,1.526392,0.02978767
1697786343025,-0.01091659,1.526409,0.02977462
1697786343040,-0.01096145,1.526382,0.02976474
1697786343053,-0.01099206,1.526351,0.02974269
1697786343067,-0.01104076,1.526333,0.02973437
1697786343081,-0.01105857,1.52631,0.02973076
1697786343095,-0.01109081,1.52629,0.02974287
1697786343109,-0.01111691,1.526306,0.02974562
1697786343122,-0.01114469,1.52631,0.02972111
1697786343137,-0.01119245,1.526319,0.0297038
1697786343151,-0.01122439,1.526345,0.02968827
1697786343164,-0.01126298,1.52634,0.02968021
1697786343178,-0.01129065,1.526347,0.0296595
1697786343192,-0.01131288,1.526337,0.02963175
1697786343206,-0.01132409,1.526337,0.02960069
1697786343220,-0.01133465,1.526347,0.02960753
1697786343234,-0.01133435,1.526376,0.02960768
1697786343247,-0.0113244,1.5264,0.02958506
1697786343261,-0.01134451,1.526456,0.02955927
1697786343275,-0.01135787,1.52651,0.02952096
1697786343289,-0.01135883,1.526529,0.02952613
1697786343303,-0.01139034,1.526599,0.02949694
1697786343317,-0.01141429,1.526628,0.02948059
1697786343331,-0.01143119,1.526702,0.02947601
1697786343345,-0.01146139,1.526723,0.02947208
1697786343359,-0.01147468,1.526738,0.02948094
1697786343372,-0.01150318,1.526755,0.02950394
1697786343386,-0.01154078,1.526747,0.02950139
1697786343401,-0.01157503,1.526759,0.02949718
1697786343414,-0.01161484,1.526776,0.02951429
1697786343428,-0.0116607,1.52679,0.02953782
1697786343441,-0.011703,1.526789,0.02956554
1697786343456,-0.01175544,1.526766,0.02957536
1697786343470,-0.01178881,1.526734,0.02956989
1697786343483,-0.01181472,1.5267,0.02958306
1697786343498,-0.01185773,1.526651,0.02961124
1697786343511,-0.01190026,1.526647,0.02962278
1697786343525,-0.01194811,1.526623,0.02963407
1697786343540,-0.01200976,1.526644,0.02965347
1697786343554,-0.01204482,1.526674,0.02967864
1697786343567,-0.01209375,1.526693,0.02971262
1697786343581,-0.01214379,1.526696,0.02974142
1697786343595,-0.01220765,1.526728,0.02977248
1697786343609,-0.01224522,1.526737,0.02980573
1697786343623,-0.01227548,1.526767,0.02985159
1697786343637,-0.01230538,1.526787,0.02990952
1697786343651,-0.01233808,1.526814,0.02996879
1697786343664,-0.01238395,1.526844,0.03002953
1697786343678,-0.01240599,1.526872,0.03009104
1697786343693,-0.01242533,1.526899,0.03015991
1697786343706,-0.01247097,1.526909,0.03024649
1697786343720,-0.01248589,1.526917,0.03033213
1697786343734,-0.01250909,1.526931,0.03041288
1697786343748,-0.01253996,1.526951,0.03048796
1697786343762,-0.01256347,1.526941,0.03055082
1697786343776,-0.01258588,1.526986,0.03060557
1697786343789,-0.01263791,1.527034,0.03067351
1697786343804,-0.01269645,1.52706,0.0307396
1697786343817,-0.0127684,1.527082,0.03081789
1697786343831,-0.012823,1.527074,0.03088914
1697786343845,-0.01290516,1.52706,0.03096575
1697786343859,-0.01298117,1.527047,0.03104828
1697786343873,-0.01307646,1.527034,0.03115027
1697786343886,-0.01316812,1.526998,0.03124577
1697786343900,-0.01326394,1.526972,0.03133819
1697786343914,-0.0133467,1.526956,0.03143355
1697786343929,-0.0134119,1.526932,0.03153533
1697786343943,-0.01347249,1.526926,0.03163519
1697786343956,-0.01356799,1.526918,0.03172852
1697786343971,-0.01368133,1.526891,0.03182026
1697786343984,-0.01373316,1.526901,0.03192063
1697786343998,-0.01376638,1.526928,0.03204187
1697786344012,-0.01379989,1.526912,0.0321766
1697786344026,-0.01383283,1.526857,0.03234487
1697786344039,-0.01385639,1.526825,0.03251743
1697786344054,-0.01388005,1.526849,0.03269183
1697786344067,-0.01389506,1.52687,0.03286992
1697786344081,-0.01391303,1.526902,0.03303273
1697786344096,-0.01393356,1.526908,0.03318211
1697786344109,-0.01399012,1.526903,0.03333016
1697786344122,-0.01404422,1.526926,0.03353062
1697786344137,-0.01410031,1.526938,0.03370682
1697786344150,-0.01421111,1.526981,0.03391289
1697786344164,-0.01434256,1.527016,0.0341049
1697786344179,-0.01446343,1.527089,0.03431604
1697786344193,-0.01460042,1.527162,0.03454142
1697786344206,-0.0147374,1.527241,0.03477197
1697786344220,-0.01492451,1.527332,0.03503043
1697786344234,-0.01509507,1.527426,0.03530768
1697786344247,-0.01543551,1.527608,0.035677
1697786344262,-0.01569775,1.527809,0.03607788
1697786344276,-0.01589365,1.527939,0.03643452
1697786344290,-0.01630707,1.528063,0.03671927
1697786344303,-0.01670769,1.528332,0.03715603
1697786344317,-0.0170786,1.528621,0.03757722
1697786344331,-0.0176826,1.528836,0.03806572
1697786344346,-0.01812044,1.529144,0.03851009
1697786344359,-0.01882653,1.529411,0.03899062
1697786344373,-0.0195094,1.52952,0.03954666
1697786344387,-0.02022845,1.529843,0.0401643
1697786344401,-0.02095976,1.530003,0.04092091
1697786344415,-0.02183233,1.530352,0.04174688
1697786344429,-0.02264813,1.530547,0.04265762
1697786344442,-0.02358216,1.530807,0.04362642
1697786344456,-0.02453604,1.530749,0.04454355
1697786344470,-0.02549421,1.530676,0.04554152
1697786344484,-0.02642686,1.53069,0.04660361
1697786344498,-0.02754354,1.530666,0.04773974
1697786344512,-0.02863046,1.530501,0.04893882
1697786344526,-0.02969358,1.530375,0.05012522
1697786344539,-0.03091232,1.530354,0.05148969
1697786344553,-0.03197502,1.530325,0.05280016
1697786344567,-0.03297868,1.53022,0.05417503
1697786344582,-0.03396779,1.530033,0.05554091
1697786344595,-0.03504474,1.529981,0.05691195
1697786344609,-0.03598024,1.530087,0.05832775
1697786344622,-0.03682813,1.530308,0.05980939
1697786344637,-0.03766174,1.530643,0.06130373
1697786344651,-0.03840751,1.530939,0.06299312
1697786344665,-0.03908308,1.531219,0.06455906
1697786344679,-0.03980633,1.531278,0.0661419
1697786344693,-0.04035838,1.531357,0.06761937
1697786344706,-0.04073827,1.531179,0.06905447
1697786344720,-0.04121877,1.530993,0.07052898
1697786344735,-0.04151123,1.530834,0.07203536
1697786344748,-0.0418064,1.53023,0.07339254
1697786344762,-0.04200868,1.52982,0.07474113
1697786344777,-0.04211152,1.529625,0.07602973
1697786344790,-0.04213858,1.529726,0.0773181
1697786344803,-0.04193175,1.529943,0.07857315
1697786344818,-0.04164032,1.529934,0.07972606
1697786344832,-0.04127937,1.529777,0.08078115
1697786344845,-0.04073399,1.529889,0.08183695
1697786344859,-0.04000262,1.530046,0.0828089
1697786344873,-0.03932185,1.530016,0.08374289
1697786344887,-0.03843295,1.530063,0.08459876
1697786344901,-0.03724079,1.530113,0.08535262
1697786344915,-0.03605469,1.530242,0.08615718
1697786344929,-0.03447473,1.530357,0.08685179
1697786344942,-0.03270699,1.53054,0.08736432
1697786344956,-0.03022763,1.530815,0.0877391
1697786344971,-0.02771986,1.531043,0.08823418
1697786344984,-0.02508536,1.531165,0.08853187
1697786344998,-0.02270994,1.530965,0.08882693
1697786345013,-0.02008745,1.530832,0.08891414
1697786345026,-0.01741795,1.530683,0.08901823
1697786345040,-0.01451129,1.530826,0.08907633
1697786345054,-0.01183189,1.530694,0.08906254
1697786345068,-0.008914875,1.530552,0.08895668
1697786345082,-0.006071117,1.530487,0.0889257
1697786345095,-0.003085202,1.53061,0.0887605
1697786345109,-6.521493E-05,1.530573,0.08860233
1697786345124,0.002858352,1.53081,0.08847421
1697786345137,0.005958047,1.530964,0.08822794
1697786345151,0.008938108,1.530943,0.08805683
1697786345165,0.01187047,1.531001,0.08782279
1697786345179,0.01490712,1.531107,0.0874442
1697786345192,0.01819741,1.531153,0.08696705
1697786345206,0.02157809,1.531128,0.08649389
1697786345221,0.0251782,1.530978,0.08591016
1697786345235,0.02860935,1.531037,0.08553481
1697786345249,0.03216908,1.531146,0.08506268
1697786345262,0.03561153,1.531257,0.08450015
1697786345276,0.03922985,1.531373,0.08375348
1697786345290,0.04261636,1.531463,0.08306302
1697786345303,0.04607629,1.531487,0.08233287
1697786345319,0.04941517,1.531465,0.0815099
1697786345332,0.05285936,1.531309,0.08047373
1697786345345,0.05624116,1.531337,0.07948477
1697786345360,0.05970941,1.531517,0.07827134
1697786345374,0.06314671,1.531477,0.0770715
1697786345388,0.06647675,1.53139,0.07568795
1697786345402,0.07008903,1.531146,0.07412376
1697786345415,0.07358228,1.531067,0.07252374
1697786345428,0.07702144,1.530763,0.07075273
1697786345442,0.08047793,1.530551,0.06888053
1697786345457,0.08407307,1.530116,0.06675366
1697786345471,0.08746804,1.529569,0.06462453
1697786345484,0.09115016,1.529668,0.06249604
1697786345499,0.09488352,1.529843,0.06030427
1697786345512,0.09855288,1.529866,0.05810591
1697786345525,0.1022948,1.530266,0.05598208
1697786345540,0.1063704,1.532351,0.05427655
1697786345554,0.1107505,1.535293,0.05290183
1697786345568,0.1148891,1.53712,0.05140121
1697786345582,0.1187148,1.537854,0.04968134
1697786345596,0.1225533,1.538166,0.04798483
1697786345610,0.1264398,1.53925,0.0464854
1697786345624,0.1304331,1.539929,0.04486767
